period,end_station_id,no_trips
201907,401,4951
201911,517,4948
201910,307,4948
201909,470,4945
201908,383,4945
201906,3656,4944
202002,359,4943
201908,539,4942
201910,508,4936
201909,412,4936
201907,403,4935
201907,470,4934
201910,212,4933
201909,3163,4928
201908,529,4918
201907,539,4913
201910,388,4910
201906,470,4901
201906,401,4899
201910,526,4898
201906,539,4896
201907,317,4896
201906,469,4894
201906,223,4893
201906,303,4892
201907,223,4887
201909,508,4886
202001,465,4880
201909,3724,4877
201906,3258,4874
201906,403,4872
201909,529,4871
201908,3137,4870
201909,319,4864
201906,317,4864
201910,305,4863
201908,268,4856
201910,3788,4855
201911,168,4855
201907,361,4854
201908,495,4853
201907,304,4852
201907,161,4850
201906,487,4846
201909,515,4843
201908,336,4843
201907,447,4841
201910,251,4838
201908,487,4835
201909,3282,4822
201909,252,4819
201909,328,4816
201906,3674,4808
201909,3142,4807
201906,503,4803
201908,305,4794
201909,532,4793
201909,280,4790
201908,3674,4790
201907,526,4788
201911,489,4786
202002,523,4786
201906,3746,4770
201910,487,4768
201907,311,4764
201910,303,4761
201906,520,4760
201908,3718,4756
201909,417,4750
201907,265,4739
201908,484,4730
201912,505,4728
201906,476,4728
202002,3711,4722
201908,3142,4722
201911,368,4722
201909,3463,4719
201909,3674,4717
201909,495,4712
201908,254,4710
201911,496,4710
201910,257,4709
201911,297,4707
201909,3165,4703
201908,195,4702
201906,515,4700
201906,265,4698
202005,3165,4695
201909,3259,4695
201912,490,4688
201908,3163,4685
201908,532,4685
201908,493,4681
201909,3461,4679
201911,525,4677
201910,484,4675
201908,515,4669
201907,529,4667
202005,3016,4659
201911,3687,4659
201908,237,4654
201907,412,4651
201907,257,4644
201909,394,4643
201906,161,4639
201908,546,4634
201906,361,4634
202002,358,4633
201907,3724,4633
201907,495,4622
201908,470,4616
201909,454,4614
201911,509,4603
201908,3472,4601
201908,319,4592
201907,515,4589
201906,529,4586
202001,3664,4585
201909,309,4583
201907,493,4583
201909,546,4581
201909,3718,4580
201906,412,4574
201910,335,4570
201909,3093,4566
201910,304,4560
202005,501,4560
201912,359,4558
201908,3282,4553
201907,448,4551
201908,394,4550
201909,3443,4549
201908,3164,4548
201910,361,4548
201907,3167,4547
201906,167,4541
202001,489,4535
202005,3641,4535
201910,3256,4532
201906,3472,4528
201908,508,4526
201909,3472,4526
201906,257,4524
201911,438,4522
201910,3164,4522
202003,514,4517
201907,484,4516
201907,3164,4515
202001,517,4513
202001,229,4513
201906,383,4508
201911,3164,4501
201906,3165,4495
201907,3137,4492
201911,445,4492
201908,2021,4488
202005,3282,4480
202001,284,4479
201910,195,4479
201909,325,4479
201907,450,4477
201911,482,4477
201906,3163,4477
201909,3140,4473
201909,174,4472
201911,507,4469
201911,494,4468
202002,3641,4462
201911,173,4461
201912,379,4461
201907,383,4459
201908,355,4455
201908,417,4453
201911,461,4449
202003,499,4447
202002,3707,4445
201911,2003,4443
202001,3435,4442
202001,499,4440
201907,508,4440
201909,3158,4437
201909,460,4433
201906,3140,4432
202005,3163,4423
202001,442,4422
201910,529,4414
201906,304,4413
201909,369,4411
202001,491,4410
202001,472,4410
202005,368,4405
202005,435,4403
201906,336,4400
201909,355,4395
201907,237,4394
202005,281,4392
201909,533,4392
201907,387,4391
201906,3142,4381
202005,3711,4379
201907,3461,4375
201908,460,4375
201912,3812,4375
201908,3427,4370
201906,387,4370
201906,237,4369
201910,3724,4367
201910,513,4356
201907,417,4353
201908,3140,4353
201907,3708,4352
201906,3164,4351
201910,483,4348
201912,293,4348
201911,528,4346
202001,446,4346
202001,3707,4344
201910,3799,4342
201911,128,4342
201908,309,4340
201909,480,4339
201906,305,4338
201907,3140,4337
201911,479,4332
201906,3137,4332
201906,3461,4329
202001,116,4328
201909,3137,4328
201910,470,4327
201911,518,4326
202001,368,4324
201911,237,4322
201907,532,4321
