period,real_period,user_type,gender,no_trips
201707,5th yr Jun 2017 - May 2018,Subscriber,Female,370684
201707,5th yr Jun 2017 - May 2018,Subscriber,Male,1009366
201708,5th yr Jun 2017 - May 2018,Customer,Female,18545
201708,5th yr Jun 2017 - May 2018,Customer,Male,31346
201708,5th yr Jun 2017 - May 2018,Subscriber,Female,389703
201708,5th yr Jun 2017 - May 2018,Subscriber,Male,1067207
201709,5th yr Jun 2017 - May 2018,Customer,Female,17386
201709,5th yr Jun 2017 - May 2018,Customer,Male,28347
201709,5th yr Jun 2017 - May 2018,Subscriber,Female,412779
201709,5th yr Jun 2017 - May 2018,Subscriber,Male,1125314
201710,5th yr Jun 2017 - May 2018,Customer,Female,13483
201710,5th yr Jun 2017 - May 2018,Customer,Male,22792
201710,5th yr Jun 2017 - May 2018,Subscriber,Female,412805
201710,5th yr Jun 2017 - May 2018,Subscriber,Male,1155632
201711,5th yr Jun 2017 - May 2018,Customer,Female,6560
201711,5th yr Jun 2017 - May 2018,Customer,Male,12404
201711,5th yr Jun 2017 - May 2018,Subscriber,Female,284800
201711,5th yr Jun 2017 - May 2018,Subscriber,Male,854602
201712,5th yr Jun 2017 - May 2018,Customer,Female,2557
201712,5th yr Jun 2017 - May 2018,Customer,Male,4494
201712,5th yr Jun 2017 - May 2018,Subscriber,Female,183049
201712,5th yr Jun 2017 - May 2018,Subscriber,Male,598465
201801,5th yr Jun 2017 - May 2018,Customer,Female,2020
201801,5th yr Jun 2017 - May 2018,Customer,Male,2801
201801,5th yr Jun 2017 - May 2018,Subscriber,Female,142052
201801,5th yr Jun 2017 - May 2018,Subscriber,Male,493431
201802,5th yr Jun 2017 - May 2018,Customer,Female,2986
201802,5th yr Jun 2017 - May 2018,Customer,Male,4634
201802,5th yr Jun 2017 - May 2018,Subscriber,Female,168689
201802,5th yr Jun 2017 - May 2018,Subscriber,Male,567636
201803,5th yr Jun 2017 - May 2018,Customer,Female,5988
201803,5th yr Jun 2017 - May 2018,Customer,Male,8122
201803,5th yr Jun 2017 - May 2018,Subscriber,Female,195466
201803,5th yr Jun 2017 - May 2018,Subscriber,Male,640477
201804,5th yr Jun 2017 - May 2018,Customer,Female,19747
201804,5th yr Jun 2017 - May 2018,Customer,Male,28164
201804,5th yr Jun 2017 - May 2018,Subscriber,Female,259987
201804,5th yr Jun 2017 - May 2018,Subscriber,Male,797194
201805,5th yr Jun 2017 - May 2018,Customer,Female,27938
201805,5th yr Jun 2017 - May 2018,Customer,Male,45646
201805,5th yr Jun 2017 - May 2018,Subscriber,Female,376843
201805,5th yr Jun 2017 - May 2018,Subscriber,Male,1083900
201806,6th yr Jun 2018 - May 2019,Customer,Female,34150
201806,6th yr Jun 2018 - May 2019,Customer,Male,54609
201806,6th yr Jun 2018 - May 2019,Subscriber,Female,417854
201806,6th yr Jun 2018 - May 2019,Subscriber,Male,1150600
201807,6th yr Jun 2018 - May 2019,Customer,Female,40434
201807,6th yr Jun 2018 - May 2019,Customer,Male,64388
201807,6th yr Jun 2018 - May 2019,Subscriber,Female,402992
201807,6th yr Jun 2018 - May 2019,Subscriber,Male,1101269
201808,6th yr Jun 2018 - May 2019,Customer,Female,37569
201808,6th yr Jun 2018 - May 2019,Customer,Male,62849
201808,6th yr Jun 2018 - May 2019,Subscriber,Female,419390
201808,6th yr Jun 2018 - May 2019,Subscriber,Male,1149226
201809,6th yr Jun 2018 - May 2019,Customer,Female,44986
201809,6th yr Jun 2018 - May 2019,Customer,Male,73810
201809,6th yr Jun 2018 - May 2019,Subscriber,Female,400767
201809,6th yr Jun 2018 - May 2019,Subscriber,Male,1088751
201810,6th yr Jun 2018 - May 2019,Customer,Female,34523
201810,6th yr Jun 2018 - May 2019,Customer,Male,64064
201810,6th yr Jun 2018 - May 2019,Subscriber,Female,396478
201810,6th yr Jun 2018 - May 2019,Subscriber,Male,1153639
201811,6th yr Jun 2018 - May 2019,Customer,Female,16183
201811,6th yr Jun 2018 - May 2019,Customer,Male,33439
201811,6th yr Jun 2018 - May 2019,Subscriber,Female,260498
201811,6th yr Jun 2018 - May 2019,Subscriber,Male,804129
201812,6th yr Jun 2018 - May 2019,Customer,Female,9070
201812,6th yr Jun 2018 - May 2019,Customer,Male,22980
201812,6th yr Jun 2018 - May 2019,Subscriber,Female,203192
201812,6th yr Jun 2018 - May 2019,Subscriber,Male,665880
201901,6th yr Jun 2018 - May 2019,Customer,Female,5556
201901,6th yr Jun 2018 - May 2019,Customer,Male,16225
201901,6th yr Jun 2018 - May 2019,Subscriber,Female,188796
201901,6th yr Jun 2018 - May 2019,Subscriber,Male,647997
201902,6th yr Jun 2018 - May 2019,Customer,Female,7014
201902,6th yr Jun 2018 - May 2019,Customer,Male,18911
201902,6th yr Jun 2018 - May 2019,Subscriber,Female,185140
201902,6th yr Jun 2018 - May 2019,Subscriber,Male,625421
201903,6th yr Jun 2018 - May 2019,Customer,Female,18915
201903,6th yr Jun 2018 - May 2019,Customer,Male,38083
