station_id,station_name,station_lat,station_lon,z_score_lat,z_score_lon
120,Lexington Ave & Classon Ave,40.6868,-73.9593,0.04930648142076168290,-0.06805905247011561356
3922,Alexander Ave & E 134 St,40.8075,-73.9271,0.09187731237709111852,-0.06178835519333993520
3521,Lenox Ave & W 111 St,40.7988,-73.9523,0.08880882663293149888,-0.06669585740994698783
440,E 45 St & 3 Ave,40.7526,-73.9740,0.07251410923291144979,-0.07092176209646972759
3150,E 85 St & York Ave,40.7754,-73.9480,0.08055565807967459090,-0.06585846615870054631
3954,Southern Blvd & E 142 St,40.8073,-73.9080,0.09180677247492652956,-0.05806878010059411357
3837,Broadway & Kosciuszko St,40.6933,-73.9285,0.05159902824111082401,-0.06206099420537366035
3854,Morgan Ave & Maspeth Ave,40.7167,-73.9364,0.05985219679436773199,-0.06359945720184968082
3071,Boerum St & Broadway,40.7054,-73.9498,0.05586669232206845592,-0.06620900203131533578
3140,1 Ave & E 78 St,40.7714,-73.9535,0.07914486003638281176,-0.06692954799169018081
160,E 37 St & Lexington Ave,40.7482,-73.9785,0.07096223138529049273,-0.07179810177800670128
3834,Irving Ave & Halsey St,40.6947,-73.9066,0.05209280755626294671,-0.05779614108856038842
3700,E 87 St & 3 Ave,40.7794,-73.9533,0.08196645612296637004,-0.06689059956139964865
3093,N 6 St & Bedford Ave,40.7175,-73.9590,0.06013435640302608782,-0.06800062982467981531
3764,Bushwick Ave & McKibbin St,40.7055,-73.9394,0.05590196227315075039,-0.06418368365620766327
2006,Central Park S & 6 Ave,40.7670,-73.9770,0.07759298218876185470,-0.07150598855082771005
508,W 46 St & 11 Ave,40.7640,-73.9980,0.07653488365629302035,-0.07559557373133358724
3997,5 Av & W 139 St,40.8155,-73.9359,0.09469890846367467680,-0.06350208612612335041
357,E 11 St & Broadway,40.7326,-73.9916,0.06546011901645255408,-0.07434922396203655800
3373,3 St & 3 Ave,40.6751,-73.9878,0.04517989714413322891,-0.07360920378651644689
3277,Communipaw & Berry Lane,40.7144,-74.0666,0.05904098791947495898,-0.08895488532098611939
266,Avenue D & E 8 St (home location),40.7237,-73.9757,0.06232109337012834549,-0.07125282375393925098
3855,Frost St & Debevoise Ave,40.7188,-73.9395,0.06059286576709591604,-0.06420315787135292935
3617,28 Ave & 35 St,40.7671,-73.9170,0.07762825213984414918,-0.05982145946366806094
3840,Putnam Ave & Wyckoff Ave,40.6981,-73.9090,0.05329198589306095898,-0.05826352225204677439
315,South St & Gouverneur Ln,40.7036,-74.0067,0.05523183320258715530,-0.07728983044897173636
366,Clinton Ave & Myrtle Ave,40.6933,-73.9689,0.05159902824111082401,-0.06992857712406115742
307,Canal St & Rutgers St,40.7143,-73.9899,0.05900571796839266451,-0.07401816230456703461
3639,Harborside,40.7193,-74.0342,0.06076921552250738843,-0.08264523961391990887
3199,Newport Pkwy,40.7287,-74.0321,0.06408459092424306942,-0.08223628109586932115
3749,Lexington Ave & E 36 St,40.7476,-73.9788,0.07075061167879672586,-0.07185652442344249952
3811,27 Ave & 3 St,40.7749,-73.9342,0.08037930832426311851,-0.06317102446865382701
305,E 58 St & 3 Ave,40.7610,-73.9680,0.07547678512382418599,-0.06975330918775376268
3476,Norman Ave & Leonard St,40.7258,-73.9507,0.06306176234285652954,-0.06638426996762273052
3986,E 149 St & Morris Ave,40.8173,-73.9230,0.09533376758315597741,-0.06098991237238402585
3375,3 Ave & E 72 St,40.7699,-73.9606,0.07861581077014839458,-0.06831221726700407262
3824,Van Sinderen Ave & Truxton St,40.6786,-73.9037,0.04641434543201353566,-0.05723138884934767205
3561,37 Ave & 35 St,40.7531,-73.9280,0.07269045898832292218,-0.06196362312964732994
3761,Cedar St & Myrtle Ave,40.6978,-73.9262,0.05318617603981407555,-0.06161308725703254047
3068,Humboldt St & Varet St,40.7032,-73.9406,0.05509075339825797739,-0.06441737423795085625
3582,Lincoln Pl & Classon Ave,40.6722,-73.9609,0.04415706856274668904,-0.06837063991243987087
3244,University Pl & E 8 St,40.7314,-73.9950,0.06503687960346502034,-0.07501134727697560478
3952,E 141 St & Jackson Ave,40.8069,-73.9118,0.09166569267059735164,-0.05880880027611422468
3494,E 115 St & Lexington Ave,40.7979,-73.9423,0.08849139707319084857,-0.06474843589542037964
3591,21 St & 31 Dr,40.7659,-73.9308,0.07720501272685661544,-0.06250890115371478023
3078,Broadway & Roebling St,40.7100,-73.9620,0.05748911007185400193,-0.06858485627903779777
400,Pitt St & Stanton St,40.7193,-73.9818,0.06076921552250738843,-0.07244075087780048198
3673,Dean St & Franklin Ave,40.6776,-73.9556,0.04606164592119059088,-0.06733850650974076853
241,DeKalb Ave & S Portland Ave,40.6898,-73.9749,0.05036457995323051726,-0.07109703003277712233
285,Broadway & E 14 St,40.7345,-73.9920,0.06613024808701614917,-0.07442712082261762233
3779,Hart St & Wyckoff Ave,40.7049,-73.9199,0.05569034256665698352,-0.06038621170288077731
