period,start_station_id,no_trips
201910,301,5212
201911,442,5211
201906,3260,5210
201907,474,5206
201908,317,5206
201906,545,5204
201906,3233,5199
201910,3167,5197
202001,468,5189
201906,439,5188
201908,361,5188
201907,487,5187
201909,281,5185
201908,257,5182
201909,2021,5182
201908,167,5181
201908,388,5163
201907,236,5162
201908,161,5159
201906,3165,5157
201909,361,5156
201909,539,5156
201908,487,5153
201906,470,5148
201911,446,5146
201910,236,5144
201906,236,5143
201909,3167,5141
201907,212,5141
201907,3467,5140
201909,383,5139
201907,531,5132
201909,520,5128
201906,528,5123
201906,3163,5120
201907,470,5119
201911,229,5117
201910,403,5115
201906,377,5111
201906,3724,5106
201911,151,5104
201909,3282,5101
201908,526,5101
201908,72,5099
201911,492,5096
202002,459,5092
202005,2008,5092
201909,305,5090
201909,470,5090
201910,520,5089
201908,412,5089
201907,334,5086
201911,458,5082
201911,426,5080
201908,448,5077
201908,303,5075
201910,3656,5073
201907,476,5068
202003,426,5065
201908,311,5064
201907,3746,5063
201910,3459,5063
201909,483,5062
201906,3656,5059
201909,268,5056
201907,3656,5052
201906,3467,5050
201906,388,5050
201906,401,5048
201910,401,5048
201910,526,5048
201909,335,5035
201909,3158,5032
201907,2008,5017
201909,422,5014
201910,350,5013
201906,487,5007
201908,3724,5006
201908,3137,5004
201906,531,5004
202003,3255,5001
201910,167,4997
201908,434,4995
201912,285,4995
201911,461,4995
201908,350,4994
201911,486,4993
201906,315,4984
201907,539,4982
201907,315,4980
201907,305,4976
201909,412,4975
202002,359,4974
201907,517,4974
201907,3165,4973
201908,383,4973
201908,265,4972
201906,301,4970
202005,3906,4970
201910,307,4965
201909,3724,4963
201908,495,4961
201907,401,4959
202005,3687,4956
201908,539,4956
201906,469,4956
201910,508,4948
201911,472,4946
202003,497,4942
201908,3788,4941
201907,303,4935
201906,447,4935
201907,526,4933
201907,503,4929
201911,116,4928
201908,493,4925
202001,465,4923
201908,254,4920
202001,499,4917
201910,531,4917
201907,388,4913
201906,317,4913
201909,311,4910
201909,394,4908
201908,529,4902
201910,254,4901
202005,358,4899
201909,304,4899
201909,3016,4892
201908,456,4892
202001,492,4888
201907,361,4885
201906,3258,4883
201908,268,4880
201909,508,4876
201909,515,4876
202002,379,4866
202001,3812,4863
201906,403,4862
201907,403,4862
201907,350,4858
201908,470,4852
202005,281,4851
201906,350,4847
201909,3718,4846
201907,447,4845
201910,3443,4840
