bike_id,avg_miles,total_aprox_miles,no_trips
15011,1.3276965238095238,278.81627,210
15012,1.2997361398176292,427.61319,329
15013,1.1941177258566978,383.31179,321
15014,1.3905700000000000,360.15763,259
15015,1.2469232926829268,306.74313,246
15016,1.3396579365079365,168.79690,126
15018,1.2275559090909091,432.09968,352
15019,1.2840110951008646,445.55185,347
15020,1.2782055789473684,364.28859,285
15021,1.3808377822580645,342.44777,248
15022,1.0515475000000000,159.83522,152
15023,1.2640384615384615,377.94750,299
15025,1.3361465198237885,303.30526,227
15027,1.3780095205479452,201.18939,146
15028,1.3984180303030303,184.59118,132
15029,1.1988593913043478,275.73766,230
15030,1.3281467323943662,471.49209,355
15031,1.4582153612167300,383.51064,263
15034,1.3062195312500000,417.99025,320
15035,1.2893512996389892,357.15031,277
15036,1.1888355616438356,433.92498,365
15037,1.2022454545454545,251.26930,209
15038,1.2273364067796610,362.06424,295
15039,1.4730595111111111,331.43839,225
15040,1.2773363879598662,381.92358,299
15042,1.2121600000000000,425.46816,351
15043,1.2406008865248227,349.84945,282
15044,1.1977197385620915,366.50224,306
15045,1.2881065202702703,381.27953,296
15047,1.1717991967871486,291.77800,249
15048,1.0957079166666667,52.59398,48
15049,1.1566563551401869,123.76223,107
15053,1.3754989370078740,349.37673,254
15055,1.2575035692307692,408.68866,325
15056,1.2660092307692308,362.07864,286
15059,1.2804191600000000,320.10479,250
15060,1.2490947236180905,248.56985,199
15061,1.3300572932330827,353.79524,266
15062,1.4479161923076923,376.45821,260
15063,1.2780890526315789,242.83692,190
15064,1.2058990522875817,369.00511,306
15065,1.3633859354838710,422.64964,310
15066,1.3656273966942149,330.48183,242
15067,1.3580295196506550,310.98876,229
15068,1.3662709638554217,340.20147,249
15070,1.2670441129032258,314.22694,248
15071,1.2820075897435897,499.98296,390
15074,1.1797735416666667,226.51652,192
15076,1.2263498442367601,393.65830,321
15079,1.3480491011235955,239.95274,178
15080,1.1655948771929825,332.19454,285
15081,1.2829835190615836,437.49738,341
15083,1.4410968300653595,440.97563,306
15084,1.2957932323232323,256.56706,198
15085,1.2902378873239437,458.03445,355
15086,1.1147079464285714,249.69458,224
15087,1.2188231606217617,235.23287,193
15091,1.2383293984962406,494.09343,399
15095,1.3264160194174757,409.86255,309
15096,1.2853747794117647,349.62194,272
15097,1.4168446808510638,66.59170,47
15098,1.4072707142857143,59.10537,42
15101,1.2947074774774775,431.13759,333
15104,1.3689350342465753,399.72903,292
15105,1.2708467323943662,451.15059,355
15107,1.2678827887323944,450.09839,355
15108,1.2642012437810945,508.20890,402
15109,1.1285156953642384,340.81174,302
15112,1.3064082258064516,242.99193,186
15115,1.4786787677725118,312.00122,211
15116,1.2813977248677249,242.18417,189
15117,1.3189825296442688,333.70258,253
15119,1.1461940476190476,336.98105,294
15122,1.2990289306358382,449.46401,346
15125,1.2562202168021680,463.54526,369
15126,1.3331561688311688,410.61210,308
15127,1.2979822121212121,428.33413,330
15130,1.2295109490740741,531.14873,432
15131,1.1633000000000000,39.55220,34
15133,1.3359128086419753,432.83575,324
15134,1.1809893447293447,414.52726,351
15136,1.2539184593023256,431.34795,344
15137,1.3609461976047904,454.55603,334
15138,1.2819401992031873,321.76699,251
15140,1.2130316666666667,327.51855,270
15141,1.2396435357142857,347.10019,280
15145,1.2872712741312741,333.40326,259
15146,1.1596614666666667,260.92383,225
15148,1.4092780602006689,421.37414,299
15149,1.2125634671532847,332.24239,274
15151,1.3595153478260870,312.68853,230
15152,1.3405315820895522,449.07808,335
15153,1.2428897159090909,218.74859,176
15154,1.4376862176165803,277.47344,193
15157,1.2896515365853659,528.75713,410
15158,1.2715056451612903,236.50005,186
15160,0.86302175824175824176,78.53498,91
15162,1.4110408407079646,318.89523,226
15163,1.3451114018691589,143.92692,107
15164,1.4463268852459016,352.90376,244
15166,1.3985501415094340,296.49263,212
15167,1.2355663602941176,336.07405,272
15169,1.1366564150943396,301.21395,265
15170,1.3213542086330935,367.33647,278
15173,1.2473525294117647,212.04993,170
15174,1.3052314447592068,460.74670,353
15175,1.2282668141592920,138.79415,113
15176,1.4561891463414634,238.81502,164
15177,1.3555679411764706,368.71448,272
15178,1.3440235251798561,373.63854,278
15180,1.6505950000000000,23.10833,14
15181,1.1219487969924812,149.21919,133
15183,1.2615575000000000,247.26527,196
15184,1.4956725101214575,369.43111,247
15185,1.2868223788546256,292.10868,227
15186,1.3015027433628319,294.13962,226
15187,1.2786383376623377,492.27576,385
15189,1.1000615116279070,94.60529,86
15190,1.1391628571428571,103.66382,91
15191,1.2276324375000000,392.84238,320
15193,1.3164811814345992,312.00604,237
15194,1.2968095254237288,382.55881,295
15195,1.2674563231197772,455.01682,359
15197,1.2498197376093294,428.68817,343
15198,1.1788037711864407,278.19769,236
15200,1.2134050280898876,431.97219,356
15201,1.1687561956521739,107.52557,92
15202,1.2291483378016086,458.47233,373
15204,1.2581039944134078,450.40123,358
15205,1.1680548181818182,385.45809,330
15207,1.3124173015873016,165.36458,126
15208,1.4065279495268139,445.86936,317
15209,1.2538594133333333,470.19728,375
15210,1.3615882808022923,475.19431,349
15211,1.1059262240663900,266.52822,241
15215,1.3134577134146341,430.81413,328
15218,1.2427790038314176,324.36532,261
15219,1.2816851851851852,346.05500,270
15220,1.3365410526315789,279.33708,209
15221,1.2751774132492114,404.23124,317
15222,1.1474214448669202,301.77184,263
15226,1.1920342028985507,329.00144,276
15228,1.2676278593272171,414.51431,327
15230,1.3479760000000000,26.95952,20
15236,1.2544024000000000,31.36006,25
15237,1.4392985232067511,341.11375,237
15238,1.4190592203389831,418.62247,295
15240,1.2358568181818182,407.83275,330
15241,1.3114340394088670,266.22111,203
15242,1.3346060649819495,369.68588,277
15248,1.1295452592592593,152.48861,135
15249,1.1908394444444444,407.26709,342
15250,1.2603054177897574,467.57331,371
15251,1.3083588854489164,422.59992,323
15252,1.1891546486486486,219.99361,185
15253,1.2337854896142433,415.78571,337
15254,0.96668217391304347826,44.46738,46
15255,1.2582887725631769,348.54599,277
15256,1.2933435135135135,430.68339,333
15259,1.2695376716417910,425.29512,335
15261,1.2390645671641791,415.08663,335
15263,1.2345771571906355,369.13857,299
15264,1.3097006825938567,383.74230,293
15265,1.2473055277777778,449.02999,360
15266,1.2651689873417722,299.84505,237
15267,1.4477962376237624,146.22742,101
15268,1.3009811510791367,361.67276,278
15269,1.2368873355263158,376.01375,304
15270,1.4846401333333333,111.34801,75
15273,1.1887936704119850,317.40791,267
15276,1.1173164705882353,170.94942,153
15277,1.2472420875420875,370.43090,297
15278,1.3652651773049645,192.50239,141
15279,1.3086055972696246,383.42144,293
15281,1.1562241777777778,260.15044,225
15283,1.3849000318471338,434.85861,314
15285,1.3031445714285714,456.10060,350
15286,1.2306699278846154,511.95869,416
15288,1.1365167625899281,315.95166,278
15289,1.3014034821428571,437.27157,336
15290,1.2910244475920680,455.73163,353
15293,1.3058861812297735,403.51883,309
15294,1.3664254333333333,409.92763,300
15296,1.1391105555555556,266.55187,234
15298,1.3695734545454545,225.97962,165
15299,1.3540004225352113,96.13403,71
15300,1.2410483935742972,309.02105,249
15301,1.2836738064516129,198.96944,155
15302,1.2743563221884498,419.26323,329
15305,1.2992808802816901,368.99577,284
15306,1.2858185000000000,514.32740,400
15307,1.3117501954397394,402.70731,307
15308,1.3031237530266344,538.19011,413
15309,1.1074623939393939,365.46259,330
15310,1.0982749006622517,331.67902,302
15312,1.1850149603174603,298.62377,252
15313,1.6352379393939394,269.81426,165
15314,1.2480095555555556,280.80215,225
15315,1.3413816862745098,342.05233,255
15316,1.3248486831275720,321.93823,243
15317,1.3677005976095618,343.29285,251
15319,1.2186796442687747,308.32595,253
15320,1.3356766755319149,502.21443,376
15321,1.3754569130434783,316.35509,230
15322,1.2505892543859649,285.13435,228
15323,1.4411209803921569,293.98868,204
15324,1.2062090545454545,331.70749,275
15325,1.2751265606936416,441.19379,346
15327,1.2025564265129683,417.28708,347
15328,1.3179365923566879,413.83209,314
15330,1.2343300542005420,455.46779,369
15331,1.2662809041095890,462.19253,365
15332,1.2691236678200692,366.77674,289
15333,1.1427574698795181,94.84887,83
15334,1.4162887903225806,175.61981,124
15335,1.3989298333333333,335.74316,240
15336,1.1739593798449612,302.88152,258
15337,1.3692577625570776,299.86745,219
15339,1.2301446525679758,407.17788,331
15342,1.2463377477477477,276.68698,222
15344,1.2067739184952978,384.96088,319
15345,1.2181272727272727,348.38440,286
15346,1.1890944268774704,300.84089,253
15347,1.4547738064516129,450.97988,310
15348,1.3178737540453074,407.22299,309
15349,1.3081417403314917,473.54731,362
15350,1.3729654924242424,362.46289,264
15352,1.5253626530612245,74.74277,49
15353,1.4288331558935361,375.78312,263
15354,1.3416266814159292,303.20763,226
15355,1.2901936162361624,349.64247,271
15356,1.2240192400000000,306.00481,250
15357,1.1609941772151899,366.87416,316
15358,1.2939218010752688,481.33891,372
15359,1.2353588535031847,387.90268,314
15360,1.2474925287356322,325.59555,261
15361,1.2284135080645161,304.64655,248
15362,1.3485138461538462,525.92040,390
15363,1.2042112500000000,317.91177,264
15365,1.3260368699186992,326.20507,246
15367,1.2171018685121107,351.74244,289
15369,1.0800295108695652,198.72543,184
15372,1.1869405182926829,389.31649,328
15373,1.3940844444444444,276.02872,198
15374,1.3186893277310924,470.77209,357
15375,1.1421698412698413,143.91340,126
15376,1.3049411524163569,351.02917,269
15377,1.3099550570342205,344.51818,263
15378,1.3895224736842105,528.01854,380
15379,1.2602422096317280,444.86550,353
15381,1.2893195945945946,381.63860,296
15382,1.2008752272727273,369.86957,308
15384,1.3295407627118644,627.54324,472
15385,1.3658024516129032,423.39876,310
15387,1.2012311618257261,289.49671,241
15388,1.2111585478547855,366.98104,303
15390,1.1663357070707071,230.93447,198
15391,1.1916383798882682,426.60654,358
15392,1.3018650783699060,415.29496,319
15393,1.3494843820224719,240.20822,178
15394,1.1747118400000000,440.51694,375
15396,1.2611425000000000,408.61017,324
15398,1.3376830000000000,454.81222,340
15399,1.3310064814814815,359.37175,270
15400,1.3270940614334471,388.83856,293
15401,1.3802777363896848,481.71693,349
15402,1.3408771578947368,382.14999,285
15403,1.2459722261484099,352.61014,283
15404,1.2714422522522523,423.39027,333
15405,1.3719241333333333,411.57724,300
15406,1.5720780310880829,303.41106,193
15409,1.4007471595330739,359.99202,257
15410,1.4232892567567568,210.64681,148
15411,1.2547853947368421,381.45476,304
15412,1.6246701754385965,92.60620,57
15413,1.0800118483412322,227.88250,211
15414,1.6280683146067416,144.89808,89
15415,1.2911051086956522,118.78167,92
